Relative_Search_Popularity,Peaked
100,True
70,False
48,False
90,False
85,False
82,False
88,False
100,True
100,True
68,False
97,False
60,False
49,False
32,False
100,True
35,False
70,False
11,False
100,True
92,False
94,False
51,False
42,False
0,False
71,False
68,False
49,False
53,False
100,True
4,False
43,False
22,False
62,False
9,False
3,False
100,True
100,True
10,False
54,False
54,False
9,False
30,False
77,False
54,False
19,False
90,False
29,False
1,False
100,True
100,True
100,True
38,False
58,False
1,False
64,False
50,False
59,False
73,False
26,False
0,False
100,True
100,True
7,False
