familiarity_increase,momentum_increase,quality_increase,consideration_increase,awareness_increase,yougov_ranking
0,0,0,0,0,0
0,0,0,0,0,9
5.3,0,0,5.2,0,0
0,0,0,0,0,0
0,0,0,0,7.7,3
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
7.3,0,0,9.1,0,0
4.3,0,0,0,0,0
0,6.7,0,4.3,8.3,2
0,0,8.6,0,0,0
0,6.2,5,0,0,0
0,0,0,0,0,0
0,0,4.5,0,0,0
4.3,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
4.3,0,0,0,0,0
0,11.1,8.3,10.2,6.5,0
6.4,7.2,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
6.8,6,0,0,0,0
0,12.5,0,0,7.1,8
7.3,0,0,7.3,0,0
0,0,0,0,6.4,0
0,0,0,0,0,0
4.3,0,0,0,0,0
0,0,5.7,0,0,10
0,0,0,0,0,0
0,0,0,9.3,8.2,4
0,0,0,0,7.6,5
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,7.2,6
0,0,0,0,7.2,6
0,10.2,8,0,0,0
0,0,0,0,0,0
0,0,0,5,0,0
0,0,0,0,0,0
0,11.6,0,0,0,0
0,0,0,0,0,0
0,13.8,6.8,0,0,0
0,0,0,0,7.3,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,8.4,0,0
0,0,0,0,0,0
0,0,4.6,0,0,0
0,0,0,0,0,0
0,0,6.4,0,0,0
0,0,0,5.9,7.5,1
0,0,4.8,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
